Station ID	Station Code	Station name	Date	Qs	pH	KOND	TURB860	SPM	TOC	PO4-P	TOTP	NO3-N	NH4-N	TOTN	SiO2	As	Pb	Cd	Cu	Zn	Ni	Cr	Ca
36225	OSLEALN	Alna	09.05.2019 09:25	0.748	7.93	45.9	2.7	4.21	2.4	36	54	780	95	1300	4.457	0.31	0.315	0.028	2.65	8.5	0.68	0.19	
36225	OSLEALN	Alna	09.05.2019 09:25																				36.8
38005	TROEM?2	M?selv	10.05.2019 12:00	152.977	7.59	8.72	3.2	4.91	1.6	6	7	110	<2	200	2.893	0.061	0.088	<0.003	0.67	0.72	0.53	0.27	
38005	TROEM?2	M?selv	10.05.2019 12:00																				11.4
29842	SFJENAU	Nausta	13.05.2019 09:40	13.241	6.48	1.74	0.47	0.36	1.3	2	2	50	7	98	0.849	0.037	0.035	0.004	0.14	0.66	<0.04	0.037	
29842	SFJENAU	Nausta	13.05.2019 09:40																				0.568
29844	STRENID	Nidelva	13.05.2019 12:00	134.005	7.12	3.42	1.1	1.22	2.5	2	3	110	2	170	1.98	0.083	0.029	<0.003	0.6	0.49	0.6	0.19	
29844	STRENID	Nidelva	13.05.2019 12:00																				3.82
29617	?STEGLO	Glomma	14.05.2019 11:45	1251.631	6.87	4.07	3	5.38	4.1	7	12	220	<2	410	3.257								
29617	?STEGLO	Glomma	14.05.2019 11:45																				4.65
29612	BUSEDRA	Drammenselva	15.05.2019 13:10	470.079	7.21	4.01	0.8	1.07	3.5	3	5	360	4	440	3.043								
29612	BUSEDRA	Drammenselva	15.05.2019 13:10																				4.58
29617	?STEGLO	Glomma	20.05.2019 14:00	1208.818	6.95	3.91	3.7	5.03	5.3	9	11	260	20	520	3.407								
29617	?STEGLO	Glomma	20.05.2019 14:00																				4.55
36225	OSLEALN	Alna	21.05.2019	1.215																			
36225	OSLEALN	Alna	21.05.2019																				
29612	BUSEDRA	Drammenselva	22.05.2019 10:00	690.611	7.15	4.2	3.3	3.59	3.6	5	9	520	9	730	3.021								
29612	BUSEDRA	Drammenselva	22.05.2019 10:00																				4.62
30019	AAGEVEG	Veg?dselva	27.05.2019 13:20	11.344	6.58	2.46	1.1	1.86	5.4	3	7	92	3	250	1.356								
30019	AAGEVEG	Veg?dselva	27.05.2019 13:20																				1.51
36225	OSLEALN	Alna	28.05.2019	0.823																			
36225	OSLEALN	Alna	28.05.2019																				
29819	FINEPAS	Pasvikelva	02.06.2019 11:50	420.779	7.14	4.65	1.8	4.77	3.9	3	12	23	<2	130	4.95								
